Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url,zoning
34.555313,-118.08321299999999,2554 Olive Dr # 36,Condominium,"2 beds, 2 baths",853 sqft,1.66 acres,1986.0,3053051419,1110727331,Los Angeles,44050,2.0,910715.0,2,PDRPD15U*,09/16/2020,"$177,000","$180,000",https://www.realtytrac.com/property/ca/palmdale/93550/2554-olive-dr-36/51871790/,PDRPD15U*
34.4808,-117.8097,Vac/vic 183 Ste/ave Z4,Residential - Vacant Land,,,2.27 acres,,3062006042,1110727390,Los Angeles,,2.0,911001.0,10,LCA11*,09/16/2020,"$8,000",,https://www.realtytrac.com/property/ca/mount-waterman/93544/vacvic-183-steave-z4/241230500/,LCA11*
34.169115999999995,-118.62743700000001,5426 Royer Ave,Single Family Residence,"4 beds, 3 baths","3,562 sqft","5,396 sqft",1953.0,2042008047,1110727395,Los Angeles,9545,1.0,137000.0,35,LAR1,09/16/2020,"$952,500","$1,150,000",https://www.realtytrac.com/property/ca/woodland-hills/91367/5426-royer-ave/9785145/,LAR1
34.610614,-118.193063,3525 Parkmeadow Ct,Single Family Residence,"4 beds, 3 baths","3,054 sqft","6,821 sqft",2000.0,3001113026,1110727826,Los Angeles,52848,1.0,910210.0,26,PDSP,09/16/2020,"$605,000","$561,000",https://www.realtytrac.com/property/ca/palmdale/93551/3525-parkmeadow-ct/19689451/,PDSP
34.03414,-118.49508999999999,631 15th St,Single Family Residence,"2 beds, 2 baths","1,715 sqft","7,499 sqft",1939.0,4279026017,1110727887,Los Angeles,5119,5.0,701201.0,18,SMR1*,09/16/2020,"$3,275,000","$2,533,000",https://www.realtytrac.com/property/ca/santa-monica/90402/631-15th-st/154550648/,SMR1*
34.042582,-118.29406200000001,1704 S Catalina St,Single Family Residence,"2 beds, 1 bath",910 sqft,"4,723 sqft",1901.0,5075020030,1110728284,Los Angeles,ROSS & DIXONS TR,2.0,221220.0,75,LARD1.5,09/16/2020,"$725,000","$559,000",https://www.realtytrac.com/property/ca/los-angeles/90006/1704-s-catalina-st/53145675/,LARD1.5
34.262795000000004,-118.30765600000001,10646 Rhodesia Ave,Single Family Residence,"2 beds, 1 bath",840 sqft,"4,480 sqft",1939.0,2556017003,1110728659,Los Angeles,6443,4.0,103102.0,273,LAR1,09/16/2020,"$565,000","$538,000",https://www.realtytrac.com/property/ca/sunland/91040/10646-rhodesia-ave/27073204/,LAR1
33.785712,-118.163027,1468 Junipero Ave,Single Family Residence,"3 beds, 1 bath",883 sqft,"4,571 sqft",1922.0,7260016001,1110729229,Los Angeles,1577,1.0,575102.0,50,LBR2N,09/16/2020,"$470,000","$483,000",https://www.realtytrac.com/property/ca/long-beach/90804/1468-junipero-ave/25976334/,LBR2N
34.264144,-118.46091299999999,15100 Chatsworth St # B,Condominium,"2 beds, 3 baths","1,300 sqft",2.91 acres,1980.0,2649004037,1110729690,Los Angeles,35827,3.0,109604.0,,LARD5,09/16/2020,"$415,000","$362,000",https://www.realtytrac.com/property/ca/mission-hills/91345/15100-chatsworth-st-b/150196004/,LARD5
34.031331,-118.4863,1802 California Ave,Condominium,"2 beds, 3 baths","1,671 sqft","8,007 sqft",1980.0,4276009040,1110729997,Los Angeles,36676,1.0,701501.0,,SMR2*,09/16/2020,"$1,580,000","$1,418,000",https://www.realtytrac.com/property/ca/santa-monica/90403/1802-california-ave/51724025/,SMR2*
