latitude,longitude,address,property_type,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url,bedrooms,bathrooms
34.15598,-118.345119,355 N Maple St # 206,Condominium,430.0,3963960.0,1985.0,2482008096.0,1114329607.0,Los Angeles,62116,2.0,311600.0,1,BUR3,2020-12-31,360000.0,412000.0,2.0,Low,5.0,1.0,Excellent,https://www.realtytrac.com/property/ca/burbank/91505/355-n-maple-st-206/28361499/,,
34.400664,-118.56208000000001,24636 Brighton Dr # A,Condominium,2034.0,71612640.0,1989.0,2861022093.0,1114329919.0,Los Angeles,43156,3.0,920330.0,2,SCUR2,2020-12-31,690000.0,644700.0,0.0,Low,4.0,1.0,Excellent,https://www.realtytrac.com/property/ca/valencia/91355/24636-brighton-dr-a/154465876/,3.0,3.0
34.108998,-118.263323,2753 Waverly Dr # 801,Condominium,1910.0,5009400.0,2016.0,5438025076.0,1114329942.0,Los Angeles,,1.0,187300.0,1,LARD2,2020-12-31,1133000.0,1299000.0,6.0,Slightly High,11.0,1.0,Excellent,https://www.realtytrac.com/property/ca/los-angeles/90039/2753-waverly-dr-801/323427309/,4.0,4.0
34.161802,-118.131501,923 E Mountain St,"Parking Garage, Parking Structure",4500.0,4498.0,1980.0,5740016030.0,1114329982.0,Los Angeles,N R HOOPER & BROS,4.0,462400.0,1,PSC6,2020-12-31,3250000.0,,4.0,Moderate,2.0,1.0,Average,https://www.realtytrac.com/property/ca/pasadena/91104/923-e-mountain-st/154796848/,,
33.883086,-118.293704,1104 W 163rd St,Apartment house (5+ units),5351.0,7618.0,1972.0,6113019025.0,1114329992.0,Los Angeles,BATHRICKS GARDEN,2.0,603101.0,48,GAR3,2020-12-31,1200000.0,435000.0,11.0,Moderate,18.0,1.0,Average,https://www.realtytrac.com/property/ca/gardena/90247/1104-w-163rd-st/13104734/,8.0,6.0
33.91788,-118.01798799999999,14727 Lucinda Dr,Single Family Residence,1114.0,6689.0,1956.0,8032017016.0,1114330008.0,Los Angeles,21412,1.0,503106.0,63,LCRA06,2020-12-31,646000.0,672200.0,13.0,Moderate,2.0,1.0,Average,https://www.realtytrac.com/property/ca/whittier/90604/14727-lucinda-dr/19660386/,3.0,1.0
33.992184,-118.27121899999999,212 E 55th St,"Duplex (2 units, any combination)",2708.0,5329.0,1905.0,5101016024.0,1114330479.0,Los Angeles,LUCKY BALDWIN,1.0,229410.0,50,LAR2,2020-12-31,550000.0,756900.0,85.0,Slightly High,54.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90011/212-e-55th-st/26944064/,6.0,2.0
34.148243,-118.787428,30604 Lakefront Dr,Planned Unit Development (PUD),1482.0,4043.0,1975.0,2054007001.0,1114330993.0,Los Angeles,24374,2.0,800324.0,3,AHR26250,2020-12-31,705000.0,593000.0,1.0,Very Low,2.0,1.0,Excellent,https://www.realtytrac.com/property/ca/agoura-hills/91301/30604-lakefront-dr/20572590/,3.0,2.0
34.141044,-117.90193400000001,505 E 11th St,Single Family Residence,1463.0,7278.0,1959.0,8608006016.0,1114331440.0,Los Angeles,18063,2.0,400604.0,16,AZR1B,2020-12-31,649000.0,532700.0,4.0,Moderate,4.0,1.0,Average,https://www.realtytrac.com/property/ca/azusa/91702/505-e-11th-st/154986854/,4.0,2.0
34.068969,-118.389408,168 N Doheny Dr,Single Family Residence,2135.0,5982.0,1934.0,4335028057.0,1114331464.0,Los Angeles,7005,3.0,700802.0,360,BHR1YY,1987-12-16,,951800.0,0.0,Moderate,5.0,1.0,Excellent,https://www.realtytrac.com/property/ca/beverly-hills/90211/168-n-doheny-dr/154591320/,3.0,2.0
34.068346999999996,-118.364671,6300 Drexel Ave,Single Family Residence,2424.0,6026.0,1929.0,5510009034.0,1114331468.0,Los Angeles,7555,2.0,214700.0,34,LAR1,2020-12-31,1820000.0,2251000.0,1.0,Slightly High,6.0,1.0,Excellent,https://www.realtytrac.com/property/ca/los-angeles/90048/6300-drexel-ave/52460563/,3.0,3.0
34.6739,-118.4322,Vac/deerwalk Dr/vic Flintstone,Residential - Vacant Land,,15091.0,,3225041050.0,1114331511.0,Los Angeles,,1.0,901210.0,28,LCR17500,2020-12-31,12000.0,,0.0,,4.0,1.0,Above Average,https://www.realtytrac.com/property/ca/elizabeth-lake/93532/vacdeerwalk-drvic-flintstone/325993609/,,
34.240292,-118.449627,9336 Van Nuys Blvd # 38,Condominium,898.0,7013160.0,1985.0,2644030124.0,1114331519.0,Los Angeles,41096,1.0,119342.0,1,LAR3,2020-12-31,320000.0,391600.0,7.0,Low,8.0,1.0,Average,https://www.realtytrac.com/property/ca/panorama-city/91402/9336-van-nuys-blvd-38/13281359/,2.0,2.0
33.78902,-118.135121,5026 E Atherton St,Condominium,1579.0,25351920.0,1977.0,7220003048.0,1114332479.0,Los Angeles,31444,3.0,574902.0,,LBR4R,2020-12-31,635000.0,617400.0,6.0,Slightly High,9.0,2.0,Excellent,https://www.realtytrac.com/property/ca/long-beach/90815/5026-e-atherton-st/44032827/,3.0,3.0
34.050748,-118.429971,1917 Manning Ave # 1,Condominium,1980.0,6752.0,1988.0,4321008105.0,1114332491.0,Los Angeles,PELHAM COURT CONDO,1.0,267100.0,A,LARD1.5,2020-12-31,1190000.0,1192000.0,4.0,Slightly High,7.0,1.0,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90025/1917-manning-ave-1/154576783/,3.0,3.0
34.216679,-118.46434099999999,15219 Blythe St,Single Family Residence,895.0,5750.0,1948.0,2209027020.0,1114332530.0,Los Angeles,15010,2.0,120010.0,363,LAR1,2020-12-31,450000.0,640000.0,11.0,,17.0,1.0,Average,https://www.realtytrac.com/property/ca/panorama-city/91402/15219-blythe-st/15454024/,2.0,1.0
34.085586,-118.21188899999999,115 E Avenue 35,Residential - Vacant Land,,7090.0,,5207003003.0,1114348978.0,Los Angeles,SMITH & SWAINS SUB,3.0,199400.0,3,LAR1,2018-10-26,299500.0,364000.0,22.0,Slightly High,12.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90031/115-e-avenue-35/223569053/,,
