latitude,longitude,home_size,lot_size,zoning,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,sale_price,date,sale_price_cpi,age,neighborhood
33.874148,-118.06753700000002,2274.0,6783.0,CERS6500,9.0,Low,9.0,Above Average,5.0,3.0,1025000.0,2020-11-25,1013.9215179054048,44.0,Cerritos
33.933896000000004,-118.132533,1388.0,5535.0,DOR2,10.0,Moderate,10.0,Above Average,3.0,2.0,655000.0,2020-11-25,810.5187337049832,70.0,Downey
34.453153,-118.537813,1624.0,9104.0,SCUR2,1.0,Low,3.0,Excellent,4.0,2.0,630000.0,2020-11-25,794.9003386018737,42.0,Santa Clarita
34.053207,-118.316933,1567.0,7464.0,LAR1,7.0,Slightly High,15.0,Above Average,3.0,1.0,989000.0,2020-11-25,995.9569190322476,98.0,Koreatown
34.026118,-118.437821,1249.0,5304.0,LAR1,3.0,Slightly High,7.0,Average,3.0,1.0,1995000.0,2020-11-25,1414.5355196363987,69.0,Sawtelle
34.056614,-117.960516,1170.0,9015.0,LCA171/2,7.0,Moderate,4.0,Average,3.0,2.0,470000.0,2020-11-25,686.5802970478359,63.0,West Puente Valley
34.553871,-118.03228,2109.0,10026.0,LCA11,4.0,Moderate,2.0,Average,4.0,3.0,407000.00000000006,2020-11-25,638.9098915053337,14.0,Missing
34.687638,-118.141702,1368.0,9193.0,LRR2,8.0,Moderate,2.0,Poor,3.0,2.0,326000.0,2020-11-25,571.8092904812962,43.0,Lancaster
34.040919,-118.388783,1816.0,6434.0,LAR1,4.0,Slightly High,8.0,Excellent,3.0,3.0,1650000.0000000002,2020-11-25,1286.42472725982,78.0,Beverlywood
34.21264,-118.644148,2114.0,9346.0,LARE11,2.0,Very Low,3.0,Excellent,4.0,3.0,680000.0,2020-11-25,825.8418051080278,36.0,West Hills
33.999064000000004,-117.823926,2050.0,8339.0,LCR18000,0.0,Low,2.0,Excellent,4.0,3.0,890000.0,2020-11-30,944.7946178053073,42.0,Diamond Bar
34.146804,-117.938479,1715.0,6489.0,DUR17500,0.0,Low,6.0,Above Average,4.0,3.0,788000.0,2020-11-30,889.0076865664684,62.0,Duarte
33.825585,-118.269539,1056.0,5597.0,CARS,7.0,Moderate,11.0,Average,3.0,1.0,312500.0,2020-11-30,559.8445027120932,65.0,Carson
34.299113,-118.462112,1573.0,9879.0,LAR1,15.0,Low,10.0,Average,3.0,2.0,680000.0,2020-11-30,825.8418051080278,83.0,Sylmar
34.444077,-118.496964,3765.0,7667.0,LCA21,2.0,Low,4.0,Excellent,5.0,4.0,880000.0000000001,2020-11-30,939.4717888701792,7.0,Castaic Canyons
33.893226,-118.325558,1174.0,5288.0,GAR1,4.0,Moderate,13.0,Average,3.0,2.0,699000.0,2020-11-30,837.2998147562654,77.0,Gardena
34.093505,-117.966793,1040.0,4838.0,BPR1,8.0,Moderate,4.0,Average,3.0,2.0,354999.99999999994,2020-11-30,596.7007500904089,61.0,Baldwin Park
33.806849,-118.198391,1047.0,4921.0,LBR1N,22.0,Slightly High,11.0,Average,2.0,1.0,559000.0000000001,2020-11-30,748.7697852328728,82.0,Long Beach
34.206925,-118.338118,1472.0,6132.0,BUR1,3.0,Low,10.0,Excellent,3.0,1.0,892500.0,2020-11-30,946.1206459916265,70.0,Burbank
34.615877000000005,-118.216933,2863.0,13474.0,PDR17500,3.0,Moderate,3.0,Above Average,5.0,3.0,589999.9999999999,2020-11-30,769.251608581746,20.0,Missing
34.675493,-118.082262,1494.0,8867.0,LRA22,12.0,Moderate,3.0,Poor,4.0,2.0,325000.0,2020-11-30,570.9316087813227,32.0,Lancaster
34.168825,-118.341915,1475.0,7297.0,BUR1YY,4.0,Low,4.0,Excellent,2.0,2.0,964818.0,2020-11-30,983.7055142373036,81.0,Burbank
