parcel_number,date,price
7360014028,"
9/13/2013                        ","
$525,000                        "
7559017002,"
1/25/2021                        ","
$907,000                        "
7559017002,"
5/12/2015                        ","
$650,000                        "
7559017002,"
5/12/2015                        ","
$650,000                        "
7559017002,"
12/15/2009                        ","
$475,000                        "
7559017002,"
1/10/2006                        ","
$676,500                        "
7559017002,"
1/7/2004                        ","
$545,000                        "
3112050034,"
1/25/2021                        ","
$360,000                        "
3112050034,"
4/18/2008                        ","
$214,500                        "
3112050034,"
6/25/1992                        ","
$105,000                        "
2861054042,"
1/25/2021                        ","
$415,000                        "
2861054042,"
5/8/2007                        ","
$330,000                        "
2861054042,"
4/22/1991                        ","
$149,000                        "
7278004200,"
1/25/2021                        ","
$750,000                        "
7278004200,"
6/12/2009                        ","
$464,000                        "
8702018024,"
1/25/2021                        ","
$849,000                        "
2861014026,"
5/31/1988                        ","
$148,000                        "
7216019070,"
1/25/2021                        ","
$385,000                        "
7216019070,"
5/22/2007                        ","
$332,500                        "
7216019070,"
9/15/2000                        ","
$99,000                        "
7216019070,"
7/17/1992                        ","
$118,000                        "
8059023005,"
7/17/2000                        ","
$183,000                        "
8059023005,"
5/12/1988                        ","
$128,500                        "
5565044004,"
1/25/2021                        ","
$1,588,000                        "
5565044004,"
5/23/2013                        ","
$1,200,000                        "
3053058071,"
1/25/2021                        ","
$399,000                        "
3053058071,"
1/31/2020                        ","
$249,000                        "
3053058071,"
9/19/2006                        ","
$375,000                        "
3053058071,"
5/17/2004                        ","
$249,500                        "
3053058071,"
7/28/2000                        ","
$118,500                        "
3053058071,"
7/7/1993                        ","
$139,500                        "
3003083002,"
1/25/2021                        ","
$390,000                        "
3003083002,"
4/26/2011                        ","
$145,000                        "
3003083002,"
8/4/2003                        ","
$203,000                        "
3003083002,"
8/10/2001                        ","
$150,000                        "
3003083002,"
10/24/1997                        ","
$92,000                        "
3003083002,"
2/26/1993                        ","
$131,000                        "
4360029053,"
1/25/2021                        ","
$875,000                        "
4360029053,"
12/11/2015                        ","
$785,000                        "
4360029053,"
4/30/2014                        ","
$749,000                        "
4360029053,"
2/25/2011                        ","
$390,000                        "
4360029053,"
9/11/1990                        ","
$270,000                        "
7543017009,"
1/25/2021                        ","
$2,225,000                        "
7543017009,"
7/9/2018                        ","
$1,650,000                        "
4319005067,"
1/25/2021                        ","
$2,300,500                        "
4319005067,"
5/31/2007                        ","
$1,460,000                        "
4319005067,"
6/18/1992                        ","
$377,500                        "
8212022025,"
1/25/2021                        ","
$528,000                        "
2564007013,"
1/25/2021                        ","
$720,000                        "
8403002016,"
1/25/2021                        ","
$540,000                        "
2611029003,"
1/25/2021                        ","
$635,000                        "
4412020030,"
1/25/2021                        ","
$3,325,000                        "
4412020030,"
7/24/2015                        ","
$2,160,000                        "
4412020030,"
7/24/2015                        ","
$2,160,000                        "
2656031026,"
1/25/2021                        ","
$545,000                        "
2656031026,"
9/4/2009                        ","
$282,000                        "
2656031026,"
1/7/2002                        ","
$190,000                        "
2656031026,"
4/27/1998                        ","
$145,000                        "
5139028027,"
1/25/2021                        ","
$600,000                        "
5139028027,"
1/19/2010                        ","
$410,000                        "
